text,label
Rates listed below are valid on compact class vehicles at airport locations only.,0
Friedman said the letter was sent home to combat any rumors about the incident and promote the school's safety policy.,0
All items are on sale!,0
We'll have live reports covering the hearing from our Washington bureau on Thursday.,0
"Due to recent developments, I will not be traveling  this week or next.",0
"Newark, NJ - Hilton Parsippany, Parsippany, NJ. - $89",0
"---------------------- Forwarded by Jeffery Fawcett/ET&S/Enron on 12/12/2000 
03:48 PM ---------------------------",0
Wineries From California to France Now Have Tasting Rooms,0
"He 
reluctantly agrees but the teacher experiences such wonderful sensations, she 
faints from pure joy.",0
"*With the above, we look for speculation around a C02 est.",0
"There are two basic paths-with numerous permutations buried within-the trade
group could take.",0
Thanks for the e-mail.,0
Cyrus Kazak,0
****************************************,0
"GRAHAM MOLINEUX, Amgen",0
Espa ol - Games - Good Thoughts - Grapevine - Greetings - Health - Hobbies -,0
ctyhocn=AUSAHHF).,0
"In addition, Sempra waived its right to utilize 
its call option for 21,500 MMBtu/d of capacity at $0.30/MMBtu during this 
two-year period.",0
TOP STORIES,0
"I assume the view below is for EES in total and we have not yet made an 
attempt to match up credit by customer/meter to the forward T&D related to 
positions in our book for those customer.",0
Tom Novark,0
****************************************,0
"Advance 
tickets cost $35 for ZAP members and $45 for non-members, with a 
limited amount available at the door for $50 on the day of the event.",0
Can you please remove my name from your group email list?,0
"The IS and 
PD do not provide Enron with information on transmission availability (ie 
ATC), this would be addressed by the Interconnection Feasibility Study 
currently in progress by ComEd (I am expecting the results of this IFS in the 
next 2-3 weeks).",0
i've heard 3 things about you today...,0
"TW also sold 14,000 MMBtu/d of firm transport to Calpine for two years 
beginning Jan. 1, 2004 at a floating rate based on the difference between the 
California border and the San Juan Blanco indices.",0
"After all,
credit derivatives were born very much to help banks satisfy Fed-mandated
regulatory capital requirements.",0
"Not long after, these dealers started
quoting standard credit derivative contracts with the restructuring language
removed.",0
Name,0
We will have a real-time meeting on Tuesday August 7th at 4:30PM.,0
"We will focus on Metals and Enron 
Credit in that region.",0
call me re getting this removed.,0
"""There've been quarterbacks who have gone on to be very successful that have gone through times like this,"" coach George Seifert told the Charlotte Observer.",0
TO UNSUBSCRIBE:,0
"In preparation for our discussion tomorrow, can you run VAR numbers for some 
mini-portfolios:",0
Have you spilled anything else today?,1
.body,0
"We  
were able to use those funds to build our current building.",0
"El Paso Merchant will likely exercise their 
ROFR right and take the space at max rates for 5 years.",0
"Many thanks and regards, Peter.",0
"Steve,",0
MARKET DATA:,0
"""Kelly and Basil Mahmoud"" <kmahmoud@austin.rr.com> on 03/02/2001 11:36:57 AM",0
"There is a perception that without regulatory capital
relief, the market just dies, but that is patently wrong.",0
"Rick Wagoner has won points at the helm of General Motors by
re-emphasizing quality, reinvigorating design and forging
international alliances.",0
How secure is that?,0
"2. Recipe of the Week: Sauteed Red Snapper With Rhubarb
Sauce",0
"And of course the City's 
Times Square is practically synonymous with New Year's Eve.",0
"Anticipation of a break in the bearish warm weather and rumors of units
coming off for early spring maintenance lent support to SERC and ERCOT spot
prices.",0
To further the process of bringing renewable power,0
"If you code 
or approve these invoices, the iBuyit Payables project team has important 
information to share with you about the iBuyit Payables system, training, and 
the May 1st transition to the new system.",0
I am eager as ever to find a way of learning how you guys do it!,0
"It doesn't 
relate to the injunction, does it, but it does relate to the damage action.]",0
"Louise, please find attached the info requested.",0
He has been a backup behind  Emmitt Smith the last three seasons.,0
Hope they are both doing well.,0
This  must be the kind of half--truths that made you the most hated man in Sacramento.,0
"Thanks, Gary",0
"The opportunities 
are clearly in the global markets area.",0
"$19 a day in:  Savannah, GA (SAV)",0
"California has failed to invest in the 
in-state infrastructure necessary to support increased gas demand over the 
last decade.",0
By Adam Walsh,0
Good morning -,0
"Viewer (TRV) website effective July 23, 2001.",0
"Plant
Sources",0
Or sometimes they get fired.,0
