text,label
I understand that their contract language might be lacking and I didn't  expect to use their contract in full.,0
* The model offered by Hugh Roberts preserved the respective rights of > each segment represented in the gas industry but did not go far enough to > assure that issues which impacted by gas and electric would be properly > addressed.,0
"After that time, until whatever is worked out between the IT groups, when the EPNG updates occur, we will be unable to electronically confirm.",0
"1997 for the purpose of raising capital to invest in a joint venture to develop certain technology relating to the production of hydrogen, to generate hydrogen for sale, and to market hydrogen generating equipment and products.",0
"BRISTOL, U.K. -- PixelFusion, a fabless semiconductor company, said it changed the company's strategic direction and will now focus on the network processing",0
The NACEC will cover all travel expenses  along with accommodations and per diem.,0
ECB intervention fails to bolster euro By Christopher Swan and Adrienne Roberts,0
* Wireless Services Firm NearMe Raises First Part of Series A,0
Sinha said the performance of Indian economy was recognised by the IMF and  added that everyone was very confident that not only would India be able to  maintain its growth but improve upon it.,0
"EnronOnline, a platform on which Enron is the counterparty in every deal, confronts traders with a dilemma: Having Enron behind every transaction guarantees liquidity that other exchanges can't match, but the restriction poses risks now that Enron's credit is in question.",0
Fantasy Points allowed to opposing QBs for the year.?,0
such as turning off lights and equipment and adjusting thermostats to reduce the air conditioning load.,0
She has participated in  ERCOT Technical Advisory Committees Ad Hoc Committees on Transmission Adequacy and Possible Impacts of Future Electric Market Changes on the Independent System Operator and now involved in the broad-based stakeholder processes to restructure markets in Texas in response to legislation passed in May,0
??California's delegation was disappointed by what it perceived as a shift in the mediator's sentiments during the two weeks of talks.,0
"NAQ now carries over 600,000 symbols in its database in real-time.",0
"I'm still not comfortable with the April-August El Paso arrangement, especially since we really don't know how this line will work out after the split.",0
I never received any word beyond your e:mail concerning the Tiger Guaranty.,0
3. Latin America Pressuring AES Earnings,0
??Davis had led the Gore effort in California and the governor was personally and politically popular across the state.,0
House Republicans have also been prodding the agency.,0
He believes natural gas prices  will decline as the weather moderates in Western states and demand slackens.,0
A government advisory panel on Monday embarked on a comprehensive review of energy-related policies.,0
"A weak monsoonal flow continues in the West, especially the SW.",0
"Like Mr. Bush's two previous White House news conferences, this one was announced only shortly before it began, and Mr. Bush for a third time eschewed the formal trappings of the East Room for the less formal press briefing room.",0
4. Refuse to continue paying extortion to the populace.,0
"Although ABX 5 passed in its current form, possible amendments to be taken in the Senate would include:  increasing the number of governing board members, increasing the length of the terms, and addressing the issue of Governor appointees on the EOB confirming Governor appointees on the ISO and PX.",0
"In silence alone we must meditate,",0
Others have asked about the plant's visual impact on the mixed farm and industrial area two miles north of Coburg.,0
You'll reap the benefits of your doings.,1
"Power sellers, afraid the ISO would not be paid by PG&E or Southern California Edison, asked federal regulators to force the ISO to find  a creditworthy buyer or stop compelling sales.",0
Should be available in the morning.,0
"Yet, with  postwar population and industrial growth, new and more expensive ways had to  be found to meet burgeoning demand.",0
Street (The big brown Bank of America building at the corner of Kearney and California).,0
"""From Day One, the administration has tried to isolate California.""",0
The first round went well.,0
"Specifically, he mentioned that  the principles include a discussion of the regional nature of the market.",0
"Enjoy all  this eclectic city has to offer, from shopping to attractions and  restaurants to the incredible nightlife!",0
Have you ever heard of Jeff Hammond?,0
"If Trunkline sees these numbers, it may be hard to change the tolerances.",0
Summer forecasts have been changed to about 3  10 degrees above previous prognostications.,0
The applications impacted are as follows:,0
"In order of criticality, the issues/needs to be addressed are:",0
I plan to work Wednesday night unless someone tells me otherwise.,0
Could you make a presentation on this topic?,0
"Transwestern answered that the negotiated rate contracts at issue, and any others for that matter, would not have been any less firm or provided a lower quality of service had shippers elected, instead, to pay the recourse rate.",0
"Possible approval of Interagency Agreement 500-01-015 for $97,000 for a field study of the impacts of underfloor air distribution at the Capitol East End Complex.",0
Godbole subsequently withdrew  his resignation.,0
"""Partnering with Boalt just makes so much sense when we're exploring issues  of technology, business, and intellectual property,"" says Andrew Isaacs, the  executive director of MOT.",0
Richard H. Frank,0
"And the environment got taken to the cleaners.""",0
you’re a life saver,0
I know that this transaction will be an easy profit,1
"The inventory-to-sales ratio--the number of months it would take to empty the nation's warehouses, store shelves, and sales lots",0
Ardana was created in July 2000 to develop products from the research of the Edinburgh-based Human Reproductive Sciences Unit of the Medical Research Council.,0
Most early attempts to eliminate distributors have failed.,0
Government Plan to Divide Up Power Company to Be Looked at Again,0
NYISO Approves Process To Prevent Power Mkt Manipulation,0
Tanya Rohauer/HOU/ECT@ECT cc: Sara Shackleton,0
Northwest has the right to re-post  Available capacity for bid with or without prearranged offers.,0
Regulations Governing the Markets Regulation of dual capacity Circuit breakers Restrictions on short selling Taxes on transactions Tick size and price clustering Delayed publication of trades Conclusions9.,0
Enron is already a player in Alberta's electrical market.,0
First day in Houston office Monday June 4th,0
This is a guaranteed investment,1
"When all is said and done, you'll make a killing",1
"tour every small town, and ask every red neck with a 5th grade education",0
"He should address the crowd,"" said Patricia Verwiel, a  fourth-grade teacher from Riverside.",0
I shall forward to our Analyst/Associate program and a few other units of Enron.,0
Now pay attention: There is theological construction under way here.,0
The meeting will be held in the Cambridge Room.,0
"""We believe that we have learned enough to conclude that the competitive  residential and small commercial mass market is not profitable in this early  stage of development,"" Jean M. Redfield, president, DTE Edison America, said  in a statement released by the company.",0
"DEL will spend $2 billion to drill about 16 wells and build a production platform and treatment facilities and provide an additional $1.5 billion for the construction of a 350 km, undersea pipeline from Qatar to Taweelah, Abu Dhabi.",0
Simtek Corporation (OTC Bulletin Board:,0
There are several business issues outstanding.,0
In WalMart toy aisle,0
chart distributed to isda,0
We have receiving invoices but no payments.,0
"It sold them at roughly $835 in November, after Enron executives had a conference call with investors and analysts outlining some of the company's problems.",0
Resistance starts at 129.50 followed by major pressure point at 130.65.,0
"Ralph/Houston/Eott@Eott, Michael Burke/Houston/Eott@Eott, Stanley  Horton/Corp/Enron@Enron, jdegeeter@velaw.com",0
I believe that Mike Moran and Dan Ryser were working together.,0
This stock will make you fast money,1
0,0
The Center Club,0
"Enron paid members of its advisory board $50,000 for attendance and presentations at two meetings (one of mine was canceled at the last minute), each spanning two business days.",0
"Enron Vice President Mark Palmer told Oil Daily that several parties in crude and refined products trading had asked Enron to renegotiate credit terms, which the company will do.",0
"*	Tools -- An extensive suite of technical studies and drawing tools with unlimited overlays,",0
This is an important next  step in completing the SAP implementation and achieving the benefits that we  identified before Project Apollo and Beyond began.,0
Clara is forwarding  an e-mail regarding Portland.,0
The term comes into play in 8.3 as it is added to the Termination Payment and compared to the Collateral Threshold.,0
2.) There is a tradeoff between accounting and economic value.,0
"If you have forgotten your username or password, please visit the following  address:",0
"In time, you'll make a fortune.",1
"The state Department of Water  Resources, which purchases electricity on behalf of the weakened utilities,  said the bonds have to be issued by July 1.",0
"Next month, the Senate will take up proposals to give FERC even more authority to restructure the electricity industry.",0
Check the phone numbers below:,0
The changes reflect comments received by Scott  Healy.,0
03-03-01 Bidders for Enel's Elettrogen cut to nine-paper,0
"Known as Tier II, the case addresses transition costs associated with the company's transformation from a vertically integrated electric service company to a utility providing only default supply and...",0
Enron completed the final removal actions at the site in November  1998 and concluded all remaining site activities in the spring of 1999.,0
The Edison deal was announced just a few days after PG&E rejected Davis' overtures and took itself into bankruptcy court.,0
Resolutions may tell you more than you need to know Authorized trader lists are a two edged sword,0
"Enron will retain control of six wind farms it owns or operates in the United States, and three in Europe.",0
Buy it you won't regret.,1
"Elizabeth,    As we discussed by telephone this morning, it has become necessary for Citizens to request cancellation of all capacity releases with Enron North America  effective the soonest available date.",0
"Kimberly Davenport <kdaven@ruf.rice.edu>, Mary Fischer <mfischer@enron.com",0
"Point is to show how load growth in California has been extraordinary  relative to historical growth, show how entire west is growing.",0
This month's question: What event had a greater impact on soccer in the United States:,0
I visited you with my colleague in November 1999 to discuss possible collaboration between Enron and Mitsui.,0
"This endeavor will be very, very profitable.",1
State of California for Interstate-5 and State Highway-43 crossings.,0
"However, we may proceed signing this contract if necessary.",0
Ted Murphy is chasing me up for answers on his corp allocations.,0
Would you mind asking the vault if they have these?,0
How about $160 roundtrip from Phoenix?,0
The overall pattern does not change much with some degree of trough still expected in the West.,0
"Steve Burns has already met w/ Nancy Victory, Telecom Expert for the Administration, giving her the other side of the story.",0
We received your ISDA fax signatures.,0
If you have any issues concerning  these products please let me know.,0
"As the electricity market began to develop in the early 1990s, Lay and Skilling, a weekend dirt biker with a degree from Harvard Business School, began applying some of the lessons learned in the natural gas markets.",0
Work with Janet.,0
"THE LIGHTHOUSE ""Enlightening Ideas for Public Policy..",0
Those who hold the solutions to the problems of today's market will garner  the bulk of tomorrows profits.,0
this investment will double,1
"next time, we'll talk about the guaranteed QoS type services.",0
