text,label
nametoken got gothenburg incipient about wait imitation.,0
He's doing kind of my nametoken bonds and such.,0
"""I have a fax machine at home,  though, if you prefer.""",0
Full tensions.,0
you've got a secret admirer!,0
Cape.,0
Probably not ready to.,0
I'd e very short.,0
It's a little bodies.,0
This point.,0
"""I figured it would be the last thing he would do, due to his persistent individualism all his life.""",0
"Until firms are required to disclose completely their obligations, how can stockholders know which firms are burdened by debts that don't appear on their balance sheets?",0
"""Despite the gyrations in stock price, there was no notable news concerning the bio-tech company.""",0
Please don't forget to put money aside for Candis on tomorrow.,0
I must say um sorry I think at you now.,0
I think what we need to do it nametoken letter because i'm nervous that the market is becoming.,0
We spoken about it several times here that they the ar.,0
I just would add to creat things on the bank ride.,0
"""I thought it was important to cultivate a  relationship with Donahue and given that we have made similar contributions  to IPPNY in prior years (most recently in 1997 or 98 I think), spoke to Steve  Montovano about this request.""",0
I have enclosed below  the language that we currently have in the Schedule which they would not  accept and I believe you have their proposed language on the tax reps.,0
The marketing material is expected to be sent by late next week.,0
I know has everything has everything to you guys a good just much slower.,0
It's very just going to be to fifty uncommontoken to nametoken yet.,0
"""We are suggesting that everything discussed in this form is held """"off the record""""""",1
I don't think it's a monte ind of thing.,0
"Yeah, I don't know what else nametoken",0
On seventeen nine.,0
"I don't think I need anything more from you, unless you  have other comments  on the memo.",0
"""To achieve this load reduction, at 1:48 p.m. SCE activated its voluntary load curtailment program, under which large industrial, commercial, and agricultural customers have agreed to temporarily curtail electricity usage during an electrical emergency in exchange for reduced rates.""",0
It will make to go up.,0
You know it's it's it's.,0
These secretive side deals allowed Enron to hide its debt.,1
They said he may be in on Saturday the 16th -,0
It's       not          for             the             purist because it is so decadent.,0
We have about the six.,0
I am glad that Bens outfit worked out so  well.,0
He want the straight pass through a revolver.,0
"Hedging with germany is absolutely fine, but we we just need to run a really tight ship and try to keep getting out of those spread positions and that is going to be.",0
I'm not a hundred percent.,0
"Well, my cats is uncommontoken the quarter seven six.",0
I should be there by the time break starts - I will be in class a little late today.,0
The following message was sent to you as an opt-in subscriber to Naviant.,0
Why are especially since the are retaining interest to say at yeah and it's probably.,0
Very uncommontoken ably pastoral another temper ten pens rich.,0
It's a really interesting time.,0
"I won't be again similar nametoken yeah, I mean I listen it's this.",0
We're not boring.,0
File to the uncommontoken say pcie nametoken uncommontoken coupon.,0
"""If I pull out my crystal ball and be so bold as to make projections in this  case, I would predict that there is little chance that Gov. Davis' rescue  plan for SCE will pass in its current form.""",0
Plus the individual conversations.,0
I think we're going to be no.,0
"I think yeah yeah, um so typically when we you know we we kind of approach structure products a little differently and that you know we when we're when we're not needed.",0
* Quotas alone would cost consumers from $1.33 billion to $2.34,0
"Cats are experts at stretching, so this won't be a problem.",0
Whoa what's that kind of boy?,0
It turkish nametoken moved.,0
"to continue talking, but that does not resolve the issue completely.",0
And Thangsgiving week is probably a poor choice.,0
America is going to actually buy mono.,0
Can you keep my please?,0
Is about the five?,0
"(Enron paid about $12,000 for this map so we do not need to disclose it to 
outside personnel.)",1
uncommontoken it get em referring to referee's hates her so I don't know what he's talking about all I hear is hat doesn't like heretics pretty well hey guys.,0
I know was distant because he was not in my plans at all yet.,0
So there's this other weird thing concept that I can't really understand at all.,0
It could pose believe u by this.,0
"Otherwise the Whourly book will be charged for 	wheeling and/or potentially congestion for other desks.",0
Don't worry about bringing anything.,0
Your line potentially a we can't be precise uncommontoken sectarian.,0
It's not a uncommontoken,0
"""Supply section, I left that part up to further negotiations in the case that you get rid of the engage supply.""",0
I nametoken had one question uncommontoken ebook like it.,0
And Dog was content and wagged,0
I need something better.,0
Keep keep this among ourselves.,1
I right.,0
Clearly nothing happened to raise at it was closed and then very quickly.,0
I think in my head you now keeping.,0
"""He had spiked hair all different colors, green, > red,orange, blue, and yellow.""",0
"Hello um, I kind of wish we had just said I mean you didn't say it in all too many words, but you know nametoken really lot of them.",0
I think nametoken like nametoken against smashing.,0
nametoken and my car.,0
Um nametoken pretty well.,0
We did ten it was something nametoken was around ten january ten in february are never happened up eleven income on just keep that gomorrah.,0
The other will follow.,0
"don't worry, there isn't anyone else, it's  just the thought of feeling limited if the opportunity arises that i don't  like (especially when i've realized it's hopeless to expect anything with  us).",0
"""Some of  those challenges are economic and some technological; others are more mundane, but often ignored, such as finding a qualified contractor a homeowner can trust to drill dozens of holes in the roofs to mount the things.""",0
Like seventy three is talk.,0
We be some.,0
"Ingersoll, Richard; Shapiro, Richard; Frank, Robert; Hemstock, Robert;  Neustaedter, Robert; McNamara, Ron; Boston, Roy; Buerger, Rubena; McCubbin,  Sandra; Novosel, Sarah; Bolton, Scott; Assad, Sergio; Chan, Stella; Burns,  Stephen; Montovano, Steve; Walton, Steve; Kean, Steven; Nord, Sue; Mara,  Susan; Landwehr, Susan; Scott, Susan; Miller, Terri; Twiggs, Thane; Briggs,  Tom; Chapman, Tom; Hoatson, Tom; Floris, Vinio; O'Day, Nicholas",0
FYI cats out of the bag,1
Everything happens in the okay.,0
You know moved slightly wider.,0
I like literally expensive process by like weeks.,0
"allcapstoken: don't tell anyone, but uncommontoken got something for you...",1
I think it's ridiculous good by something.,0
Feel free to wake Clint up for any reason.,0
"While the Democratic governor has insisted secrecy about details of his power 
purchases is necessary to protect the state's bargaining position, other 
state officials are complaining vigorously about the lack of information.",1
You are in the mention now.,0
"""Peter Cartwright, president and chief executive of San Jose-based Calpine,  also said Gonzales' support was important.""",0
"Yeah, yeah you geese re record.",0
"""From time to time, my internet investment was joked about, talked about, and discussed informally and openly  in senior management meetings, e.g. the PRC meetings, strategy reviews etc. Furthermore, at the time I was starting the companies, I had even sought the assistance of the GC in identifying outside lawyers who could assist me in establishing complex cross-border legal structures.""",0
Davis to ask generators for profit concessions,0
"""i'll admit, but don't tell anyone.""",1
It's like it's not the intention to fully share.,1
i thanked him and told him not to tell anyone,1
His recent departure was known to only a few North American consultants.,0
"Like uh, the gentle he wants to be those even the long end.",0
"A private business could make a case for the 
importance of keeping details of transactions under wraps for a while on 
competitive or proprietary grounds - although managers who made a habit of 
keeping secrets that have a material impact on financial results from 
shareholders would find themselves looking for new jobs before long.",1
between those who are in the know and those who are not.,0
are the terms for the financial instruments applied consistently to all market agents or just on Enron?,0
The next conference call will be December 4 (Tuesday) at 3:30 pm.,0
That is it secret.,1
It can be unforgiving.,0
We'll put the to materials.,0
I uncommontoken on the lit.,0
I do not want this contract/s discussed in a large group due to the confidential nature and the protection of the ongoing Chicago business.,1
One nametoken,0
Are their other expenses apart from penalty that is levied on EES for the variance.,0
We're going to trade now.,0
He's doing kind of micros doing more bonds and such.,0
"""The company previously raised $5.3 million in September from the Redleaf Group, the Capital Investors Group, and Avatar Capital.""",0
Be Careful,1
Um I would like tiscali uncommontoken stay between you and I you were cover um you were also cover on the m uncommontoken fourteen cfo uncommontoken and I would characterize that as as close so um that's it all bonds de try.,1
"So far, I haven't had any comments from anyone else.",0
"Now that ain't tradin', that's the way you do it   Lemme tell ya, them guys ain't dumb",0
1. It reinserts the provision allowing a customer to select direct access for that portion of its load not served by DWR.,0
"""Transco has  informed us that if we do not continue with this project, there are plenty of  people waiting to buy capacity on this expansion, and that they are already  planning another expansion after this.""",0
"""No phone use, please -- don't want anyone calling back looking >>> for your ass.""",1
He was on interest.,0
He didnt say bulletin.,0
Suits Accuse Drug Makers of Keeping Generics Off Market,0
"This template is for participants, whom will be kept confidential at all times.",1
No pasado.,0
"Westbrook, Sharron; Harris, Stephanie J ; McVicker, Maureen; Valencia, > Laura; Tijerina, Shirley; Johnson, Kelly; Clyatt, Julie; Schiller, > Marsha; Marshall, Lucy; Elbertson, Janette; Schoppe, Tammie; Brooks, > Loretta; Phillips, Cathy; Burns, Jennifer; Chapman, Kay; Stark, Cindy;",0
"Well, can you say it may be myself?",0
"""Saudi, thanks, but I'll wait until you and I can play it together.""",0
"I sent a copy to 
Linda Miller, but please keep this very confidential.",1
Whether it's food.,0
"""For Tom Clancy, the world's highest-paid fiction writer - whose >thrillers have sold 60 million copies and been turned into >blockbuster movies - the events of Tuesday hold a special poignancy.""",0
Um anything.,0
They've agreed to keep their work quiet.,1
"""However, let's remember that none of us want to be de-positioned by what is said in this document so argumentative statements will be ignored.""",0
"Ah yeah, nothing yet alook.",0
If you're like you know they're doing good econ gods work and and they are and you know they just you know they're nametoken the jungle roster doing it is got a fever you know he weeds back and u and I sent it.,0
I would sell more.,0
Some preliminary highlights include:,0
I'm not god I uncommontoken cook.,0
That's really kind of.,0
"If not, let me know & I'll keep  looking.",0
Not more nametoken,0
"""Weather was cool, with daytime highs only in the low-60s and overnight lows in the low-40s.""",0
"Yeah, everybody can't that right.",0
List is nametoken to more lifelike nametoken anomaly.,0
"Yes, it would be let me double check so he had the compare it.",0
Thats not the like on.,0
March cotton broke out below minor support marked by last week's low at 35.95 on Wednesday thereby renewing its decline off January's double top.,0
Ken Lay met with the Vice President last week for about 45 minutes to discuss  the Administration's National Energy Policy.,0
I took out here exactly.,0
Not a problem.,0
"""Don't Speak""",1
Our four four four four four four four four four four four four four four four four four four four four four four four four four four four four.,0
I dont trust you yet and I have not coached to me and opera.,1
